frequency_hz,magnitude_db,phase_deg,real,imag
54117,-41.1889,-178.301,-0.00871694,-0.000258597
58434.1,-42.5325,-178.428,-0.00746816,-0.000204928
63095.7,-43.8746,-178.546,-0.0063993,-0.000162452
68129.2,-45.2154,-178.654,-0.00548417,-0.000128817
73564.2,-46.5552,-178.755,-0.00470045,-0.000102172
79432.8,-47.894,-178.848,-0.00402913,-8.10548e-05
85769.6,-49.2321,-178.933,-0.00345399,-6.4314e-05
92611.9,-50.5695,-179.013,-0.00296116,-5.10388e-05
100000,-51.9063,-179.086,-0.00253882,-4.05091e-05
107978,-53.2426,-179.154,-0.00217682,-3.21555e-05
116591,-54.5785,-179.216,-0.00186653,-2.5527e-05
125893,-55.914,-179.275,-0.00160054,-2.02666e-05
135936,-57.2492,-179.328,-0.00137249,-1.60913e-05
146780,-58.5842,-179.378,-0.00117697,-1.27771e-05
158489,-59.9189,-179.424,-0.00100933,-1.0146e-05
171133,-61.2534,-179.467,-0.000865589,-8.05702e-06
184785,-62.5877,-179.506,-0.00074233,-6.39842e-06
199526,-63.9219,-179.543,-0.000636633,-5.08143e-06
215443,-65.256,-179.577,-0.000545993,-4.03563e-06
232631,-66.59,-179.608,-0.000468263,-3.20514e-06
251189,-67.9239,-179.637,-0.000401603,-2.54561e-06
271227,-69.2577,-179.664,-0.000344436,-2.02183e-06
292864,-70.5914,-179.689,-0.000295408,-1.60585e-06
316228,-71.9251,-179.712,-0.000253361,-1.27547e-06
341455,-73.2587,-179.733,-0.000217299,-1.01307e-06
368695,-74.5923,-179.753,-0.000186372,-8.04663e-07
398107,-75.9259,-179.771,-0.000159846,-6.39135e-07
429866,-77.2594,-179.788,-0.000137097,-5.07661e-07
464159,-78.5929,-179.804,-0.000117585,-4.03234e-07
501187,-79.9264,-179.818,-0.000100851,-3.2029e-07
541170,-81.2598,-179.831,-8.64983e-05,-2.54409e-07
584341,-82.5932,-179.844,-7.41884e-05,-2.02079e-07
630957,-83.9267,-179.855,-6.36305e-05,-1.60514e-07
681292,-85.2601,-179.866,-5.45751e-05,-1.27499e-07
735642,-86.5935,-179.876,-4.68086e-05,-1.01274e-07
794328,-87.9269,-179.885,-4.01473e-05,-8.0444e-08
857696,-89.2602,-179.894,-3.4434e-05,-6.38982e-08
926119,-90.5936,-179.902,-2.95337e-05,-5.07557e-08
1e+06,-91.927,-179.909,-2.53309e-05,-4.03164e-08
